path,regime,mask_ratio,mse,ssim,psnr,lpips
./CelebAMask-HQ/CelebA-HQ-img\12327.jpg,medium,0.13055419921875,0.0013381128665059805,0.9372698664665222,28.735071182250977,0.06933920085430145
./CelebAMask-HQ/CelebA-HQ-img\7049.jpg,medium,0.10321044921875,0.0017260946333408356,0.9346820712089539,27.629352569580078,0.06861905753612518
./CelebAMask-HQ/CelebA-HQ-img\17382.jpg,medium,0.11663818359375,0.0009721420938149095,0.933309018611908,30.122699737548828,0.05099351704120636
./CelebAMask-HQ/CelebA-HQ-img\24448.jpg,medium,0.144744873046875,0.004122646525502205,0.9281576871871948,23.848237991333008,0.08455910533666611
./CelebAMask-HQ/CelebA-HQ-img\3006.jpg,medium,0.136260986328125,0.0013867008965462446,0.9496415853500366,28.580169677734375,0.04947119206190109
./CelebAMask-HQ/CelebA-HQ-img\1004.jpg,medium,0.1149444580078125,0.0008857118664309382,0.9484108686447144,30.527074813842773,0.04958890751004219
./CelebAMask-HQ/CelebA-HQ-img\20747.jpg,medium,0.1284027099609375,0.0016048182733356953,0.9319819808006287,27.94573974609375,0.06508615612983704
./CelebAMask-HQ/CelebA-HQ-img\24280.jpg,medium,0.136077880859375,0.0024299793876707554,0.9288021326065063,26.14397430419922,0.08194035291671753
./CelebAMask-HQ/CelebA-HQ-img\4648.jpg,medium,0.1348114013671875,0.0007870616391301155,0.9566933512687683,31.0399112701416,0.04857678711414337
./CelebAMask-HQ/CelebA-HQ-img\2280.jpg,medium,0.1435089111328125,0.0013661645352840424,0.9257606863975525,28.644968032836914,0.08557068556547165
./CelebAMask-HQ/CelebA-HQ-img\13132.jpg,medium,0.12762451171875,0.0016023417701944709,0.9350829124450684,27.95244789123535,0.05643941089510918
./CelebAMask-HQ/CelebA-HQ-img\21539.jpg,medium,0.0976409912109375,0.0006615889142267406,0.946540355682373,31.794116973876953,0.05356050655245781
./CelebAMask-HQ/CelebA-HQ-img\18557.jpg,medium,0.08929443359375,0.00716014951467514,0.9354545474052429,21.450777053833008,0.05774151161313057
./CelebAMask-HQ/CelebA-HQ-img\4694.jpg,medium,0.14056396484375,0.0012532444670796394,0.9410518407821655,29.019641876220703,0.05728157237172127
./CelebAMask-HQ/CelebA-HQ-img\5944.jpg,medium,0.0976409912109375,0.0008028688607737422,0.9594457149505615,30.95355224609375,0.04005609080195427
./CelebAMask-HQ/CelebA-HQ-img\200.jpg,medium,0.11260986328125,0.001781249768100679,0.9474837183952332,27.49275016784668,0.06768146902322769
./CelebAMask-HQ/CelebA-HQ-img\11502.jpg,medium,0.122039794921875,0.001547427847981453,0.9450911283493042,28.10389518737793,0.05675428360700607
./CelebAMask-HQ/CelebA-HQ-img\11135.jpg,medium,0.1525726318359375,0.0007189953466877341,0.9459902048110962,31.432737350463867,0.05590338632464409
./CelebAMask-HQ/CelebA-HQ-img\10124.jpg,medium,0.1253814697265625,0.0013315686956048012,0.9402269124984741,28.756362915039062,0.05550644174218178
./CelebAMask-HQ/CelebA-HQ-img\24982.jpg,medium,0.10382080078125,0.00028193305479362607,0.9576787948608398,35.49853515625,0.025855083018541336
./CelebAMask-HQ/CelebA-HQ-img\23026.jpg,medium,0.098846435546875,0.0004660528793465346,0.9625676870346069,33.31564712524414,0.029372883960604668
./CelebAMask-HQ/CelebA-HQ-img\8954.jpg,medium,0.117919921875,0.0011369971325621009,0.9244477152824402,29.442405700683594,0.07260330021381378
./CelebAMask-HQ/CelebA-HQ-img\5911.jpg,medium,0.113311767578125,0.0021075191907584667,0.9261583089828491,26.762283325195312,0.07343141734600067
./CelebAMask-HQ/CelebA-HQ-img\28459.jpg,medium,0.1435699462890625,0.0022633157204836607,0.9130021929740906,26.452547073364258,0.08279412239789963
./CelebAMask-HQ/CelebA-HQ-img\8763.jpg,medium,0.1525726318359375,0.0014477921649813652,0.9177744388580322,28.39293670654297,0.09422481060028076
./CelebAMask-HQ/CelebA-HQ-img\22723.jpg,medium,0.11187744140625,0.004993635229766369,0.9383754730224609,23.015830993652344,0.06920607388019562
./CelebAMask-HQ/CelebA-HQ-img\27179.jpg,medium,0.12689208984375,0.0022896798327565193,0.9412405490875244,26.402252197265625,0.07528438419103622
./CelebAMask-HQ/CelebA-HQ-img\21555.jpg,medium,0.11187744140625,0.0023637767881155014,0.9411367177963257,26.263933181762695,0.08793464303016663
./CelebAMask-HQ/CelebA-HQ-img\19955.jpg,medium,0.1307373046875,0.0024923509918153286,0.9439085721969604,26.033906936645508,0.07220170646905899
./CelebAMask-HQ/CelebA-HQ-img\860.jpg,medium,0.135955810546875,0.0014407867565751076,0.9598710536956787,28.41400146484375,0.04372739419341087
./CelebAMask-HQ/CelebA-HQ-img\18243.jpg,medium,0.146484375,0.0007543255924247205,0.9609822630882263,31.224409103393555,0.09426013380289078
./CelebAMask-HQ/CelebA-HQ-img\21059.jpg,medium,0.150970458984375,0.0028048064559698105,0.9104697108268738,25.520971298217773,0.09662145376205444
./CelebAMask-HQ/CelebA-HQ-img\22117.jpg,medium,0.1318359375,0.004755059257149696,0.9309708476066589,23.228439331054688,0.07670336961746216
./CelebAMask-HQ/CelebA-HQ-img\20105.jpg,medium,0.0951690673828125,0.003991005476564169,0.9320699572563171,23.98917579650879,0.07526205480098724
./CelebAMask-HQ/CelebA-HQ-img\20372.jpg,medium,0.1154327392578125,0.002381638390943408,0.9219042062759399,26.23124122619629,0.0687171146273613
./CelebAMask-HQ/CelebA-HQ-img\29265.jpg,medium,0.12451171875,0.0007987807039171457,0.9585773944854736,30.975723266601562,0.07584362477064133
./CelebAMask-HQ/CelebA-HQ-img\25147.jpg,medium,0.101318359375,0.002366668777540326,0.9458950757980347,26.258623123168945,0.061863191425800323
./CelebAMask-HQ/CelebA-HQ-img\18381.jpg,medium,0.1314239501953125,0.002225680509582162,0.9323431849479675,26.525371551513672,0.076849564909935
./CelebAMask-HQ/CelebA-HQ-img\27694.jpg,medium,0.1251220703125,0.003613289911299944,0.9320386648178101,24.420970916748047,0.08300873637199402
./CelebAMask-HQ/CelebA-HQ-img\14061.jpg,medium,0.1259765625,0.0008444753475487232,0.944306492805481,30.734128952026367,0.056811459362506866
./CelebAMask-HQ/CelebA-HQ-img\26451.jpg,medium,0.10089111328125,0.002484952099621296,0.9348253011703491,26.046817779541016,0.06504964083433151
./CelebAMask-HQ/CelebA-HQ-img\7410.jpg,medium,0.108489990234375,0.0015956232091411948,0.9604320526123047,27.97069549560547,0.04742070659995079
./CelebAMask-HQ/CelebA-HQ-img\18812.jpg,medium,0.145050048828125,0.0007468244293704629,0.957186222076416,31.267812728881836,0.054297346621751785
./CelebAMask-HQ/CelebA-HQ-img\9128.jpg,medium,0.094024658203125,0.0019372371025383472,0.9328998923301697,27.128170013427734,0.07530716061592102
./CelebAMask-HQ/CelebA-HQ-img\24989.jpg,medium,0.12335205078125,0.001836789189837873,0.9495865702629089,27.359405517578125,0.045990340411663055
./CelebAMask-HQ/CelebA-HQ-img\3764.jpg,medium,0.1275634765625,0.0025117825716733932,0.9334955215454102,26.00017738342285,0.08252404630184174
./CelebAMask-HQ/CelebA-HQ-img\12044.jpg,medium,0.103668212890625,0.0007061546202749014,0.9725450277328491,31.51099967956543,0.0650823712348938
./CelebAMask-HQ/CelebA-HQ-img\18227.jpg,medium,0.1494903564453125,0.003295600414276123,0.9135273694992065,24.820653915405273,0.08144892752170563
./CelebAMask-HQ/CelebA-HQ-img\27701.jpg,medium,0.12744140625,0.002098984085023403,0.9333672523498535,26.7799072265625,0.079170823097229
./CelebAMask-HQ/CelebA-HQ-img\11472.jpg,medium,0.1556396484375,0.0010321533773094416,0.9621262550354004,29.86255645751953,0.0445857048034668
./CelebAMask-HQ/CelebA-HQ-img\3546.jpg,medium,0.09869384765625,0.0011067241430282593,0.9485833048820496,29.55960464477539,0.047660376876592636
./CelebAMask-HQ/CelebA-HQ-img\27763.jpg,medium,0.09521484375,0.001058704685419798,0.9470998644828796,29.752248764038086,0.05316033586859703
./CelebAMask-HQ/CelebA-HQ-img\7348.jpg,medium,0.1190185546875,0.0017373543232679367,0.9442789554595947,27.601116180419922,0.052483219653367996
./CelebAMask-HQ/CelebA-HQ-img\15800.jpg,medium,0.115478515625,0.0016014063730835915,0.9405261278152466,27.95498275756836,0.05575317144393921
./CelebAMask-HQ/CelebA-HQ-img\21519.jpg,medium,0.115447998046875,0.0021520855370908976,0.958012044429779,26.671403884887695,0.061057329177856445
./CelebAMask-HQ/CelebA-HQ-img\5070.jpg,medium,0.121917724609375,0.0031927721574902534,0.9445273876190186,24.95832061767578,0.08665376156568527
./CelebAMask-HQ/CelebA-HQ-img\6971.jpg,medium,0.1152496337890625,0.0011253526899963617,0.9581699371337891,29.48711395263672,0.05350831523537636
./CelebAMask-HQ/CelebA-HQ-img\16626.jpg,medium,0.1221923828125,0.005499230232089758,0.9191546440124512,22.59697914123535,0.09025105088949203
./CelebAMask-HQ/CelebA-HQ-img\18937.jpg,medium,0.12359619140625,0.0010734496172517538,0.9495862722396851,29.692182540893555,0.040359001606702805
./CelebAMask-HQ/CelebA-HQ-img\29506.jpg,medium,0.1121063232421875,0.001148622133769095,0.9387224912643433,29.39822769165039,0.06205902248620987
./CelebAMask-HQ/CelebA-HQ-img\11522.jpg,medium,0.12158203125,0.005248693749308586,0.9268361926078796,22.79948616027832,0.06402625143527985
./CelebAMask-HQ/CelebA-HQ-img\10238.jpg,medium,0.1174163818359375,0.003833984024822712,0.9334558248519897,24.163496017456055,0.06533797085285187
./CelebAMask-HQ/CelebA-HQ-img\29008.jpg,medium,0.1203155517578125,0.003173378761857748,0.9100553393363953,24.984779357910156,0.08820339292287827
./CelebAMask-HQ/CelebA-HQ-img\28421.jpg,medium,0.115478515625,0.002429691608995199,0.950652003288269,26.144487380981445,0.050789326429367065
./CelebAMask-HQ/CelebA-HQ-img\1685.jpg,medium,0.118865966796875,0.002073043491691351,0.9499065279960632,26.83391571044922,0.05006862059235573
./CelebAMask-HQ/CelebA-HQ-img\23627.jpg,medium,0.101318359375,0.0011540710693225265,0.9677316546440125,29.377674102783203,0.04249071329832077
./CelebAMask-HQ/CelebA-HQ-img\13858.jpg,medium,0.138519287109375,0.002184611512348056,0.9209280014038086,26.606258392333984,0.08698202669620514
./CelebAMask-HQ/CelebA-HQ-img\24585.jpg,medium,0.1279144287109375,0.001630344777368009,0.9234561324119568,27.87720489501953,0.06924617290496826
./CelebAMask-HQ/CelebA-HQ-img\21801.jpg,medium,0.119842529296875,0.0021344968117773533,0.9380568265914917,26.70704460144043,0.07071469724178314
./CelebAMask-HQ/CelebA-HQ-img\11586.jpg,medium,0.10784912109375,0.0006389726186171174,0.955704391002655,31.94517707824707,0.03952939808368683
./CelebAMask-HQ/CelebA-HQ-img\13461.jpg,medium,0.126068115234375,0.0021948146168142557,0.9299933314323425,26.586021423339844,0.06641001999378204
./CelebAMask-HQ/CelebA-HQ-img\4005.jpg,medium,0.12762451171875,0.00731230154633522,0.9070852994918823,21.35945701599121,0.10713198781013489
